path,relative_path,class_name,class_index,size_bytes,width,height,aspect_ratio,mode,sha256,phash,corrupt,error,duplicate_group,duplicate_class_conflict
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery1.jpg,battery/battery1.jpg,battery,0,7405,280,180,1.5555555555555556,RGB,65d0311205cb0148871bc14dec13314c0209ecd74095f9acca3026d6a742d22f,801b003020640000,False,,group-000000,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery10.jpg,battery/battery10.jpg,battery,0,4900,220,165,1.3333333333333333,RGB,334466b4324a8c80f3204ef4c63cf6892ec20a954880af364b0ad4936aa6093a,2343091b364d3a24,False,,group-000001,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery100.jpg,battery/battery100.jpg,battery,0,12976,275,183,1.5027322404371584,RGB,32efd926e244739e97b3ced8bd3b9e2ce01ca101972eb5c7321ce1543db26877,c288840b93133e36,False,,group-000002,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery101.jpg,battery/battery101.jpg,battery,0,9825,275,183,1.5027322404371584,RGB,49a84a86143beab927b8074c2d05855e4221c4e99137d5d17b183e54093871cc,181b1337881a300f,False,,group-000003,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery102.jpg,battery/battery102.jpg,battery,0,3111,224,224,1.0,RGB,7e191fef8b4cd286fb635cf99ede490dc598c42c39df9c9d60850a32a9ea759e,060016969e9e0006,False,,group-000004,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery103.jpg,battery/battery103.jpg,battery,0,8327,268,188,1.425531914893617,RGB,d20f150d3d1dbc0bb3dbfe2bd72d0d57190b8aa6fb8cc6dcd5627321d618effc,05467b37331f3c33,False,,group-000005,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery104.jpg,battery/battery104.jpg,battery,0,11425,256,197,1.299492385786802,RGB,f6fdd0a9d0a5bbccf702f541368cc0642f7b5dd1bc89dea381705b3a805ed2b9,03d9610565250747,False,,group-000006,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery105.jpg,battery/battery105.jpg,battery,0,4896,456,110,4.1454545454545455,RGB,629bfc6cd2ed4f9c7b82f2ec25e2d2d5f04187360d6fb53d55cda123cf7d8021,181e1e1e9e9e8e4f,False,,group-000007,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery106.jpg,battery/battery106.jpg,battery,0,6218,200,252,0.7936507936507936,RGB,a86a10a8699a4caef7f459a23f0f9fc960b476eb496b10594a50466b93ebbc8e,003534b417366410,False,,group-000008,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery107.jpg,battery/battery107.jpg,battery,0,8146,225,225,1.0,RGB,c735f893a3766a72567b9ca9e741188646f8e2b6e55446538b4c09d79cd4dbc8,1c1b3b23633b0706,False,,group-000009,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery108.jpg,battery/battery108.jpg,battery,0,2926,200,167,1.1976047904191616,RGB,4a8cf856ad0d3a7ab6f2e425049f4a6787e0012fe08622057d7793f653950e3e,243a1d0e83231309,False,,group-000010,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery109.jpg,battery/battery109.jpg,battery,0,3866,225,225,1.0,RGB,2ceb988318589eb8e871fdfc9a8eec2d1666c6eeb9d6adf240d8269e52f99998,0730030b3f300210,False,,group-000011,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery11.jpg,battery/battery11.jpg,battery,0,8933,224,224,1.0,RGB,aac896ab268f4c132740301dc39f9d6c4c499435ae3148b3f387ec10c2f0879b,002b692b29ab2b55,False,,group-000012,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery110.jpg,battery/battery110.jpg,battery,0,8365,225,225,1.0,RGB,968505b118013dff9cade9c7184dba14fe9b3ba4fdd9e6fc1910484776d9ef15,003f2b23231b0306,False,,group-000013,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery111.jpg,battery/battery111.jpg,battery,0,6933,300,168,1.7857142857142858,RGB,fda89fe1a279979b9b1488a329f3af8e62895a9ae5cb8b26399c8d379715b9b7,0d4d0d2f2b0b495b,False,,group-000014,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery112.jpg,battery/battery112.jpg,battery,0,9894,275,183,1.5027322404371584,RGB,72f087420f5627a5fa900999637c5c169ebb3d241d195d5648ee38c2e4007e07,4d062b370d3b2c32,False,,group-000015,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery113.jpg,battery/battery113.jpg,battery,0,8142,251,201,1.2487562189054726,RGB,5a1f50877981111977d186a7624e0eec8d0f75c1de62cd0e4fa1d985d8cec9eb,072f73636969292f,False,,group-000016,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery114.jpg,battery/battery114.jpg,battery,0,4639,204,248,0.8225806451612904,RGB,9870c7507f0abbcd5b2b3d84efd06066e45aab37b1d6e0d70985817f60910f3a,02003b031b020002,False,,group-000017,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery115.jpg,battery/battery115.jpg,battery,0,8022,225,225,1.0,RGB,81e124431f0c3c52f8ef582ccd12a903f156ecf6612ffd9f89ce835e687156db,0821410726793408,False,,group-000018,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery116.jpg,battery/battery116.jpg,battery,0,10979,259,194,1.3350515463917525,RGB,e6c12f92e19881f351addbc6ba8b8b2eb647171513bbb82021e2053a9d5572ca,000034a6a4b7a76f,False,,group-000019,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery117.jpg,battery/battery117.jpg,battery,0,6444,225,225,1.0,RGB,d050f04256fcfb829499b4ea877efc8474860e7cd222b4d974cfc9116b2c3161,0043393d313f3e81,False,,group-000020,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery118.jpg,battery/battery118.jpg,battery,0,8577,225,225,1.0,RGB,506892bf0b666a2159ba3e6de305b97d007f441d6441db05569f82c4c07c9628,3f3d475353730b03,False,,group-000021,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery119.jpg,battery/battery119.jpg,battery,0,5738,225,225,1.0,RGB,4a9ffd587a52370be7e3c80dcd498dbae7daf3115b4ac33193d0e28b48b7e21d,2f2f2f179696968e,False,,group-000022,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery12.jpg,battery/battery12.jpg,battery,0,2454,275,183,1.5027322404371584,RGB,8ea2aa40ee121cd4847f95b170749efc605a90bac293028df8a8e5dcae1a524d,001018181a064ea0,False,,group-000023,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery120.jpg,battery/battery120.jpg,battery,0,4842,225,225,1.0,RGB,f49aa51a70694c54698b66700de9b0a71bf2d5ba4ad6efdd11aa36140615d886,cc4d4d4d4d4d4d4d,False,,group-000024,True
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery121.jpg,battery/battery121.jpg,battery,0,5190,225,225,1.0,RGB,438d0a7cbcbbb164be10008f9b5f7b247b3d04ad6c33a312d98b4384e4a60392,0e96968e8e8e8e16,False,,group-000025,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery122.jpg,battery/battery122.jpg,battery,0,10783,280,180,1.5555555555555556,RGB,22ce37b4d35b6d511561cb45793971bf0ee0b8081426616b0775cb3f2c8d750d,03356519195b1f38,False,,group-000026,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery123.jpg,battery/battery123.jpg,battery,0,5405,275,183,1.5027322404371584,RGB,232e1f748938b3e4a90119062d3c6f801ab244042bd19e70482180e99e304c29,00460f1b120e9c12,False,,group-000027,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery124.jpg,battery/battery124.jpg,battery,0,7089,322,156,2.0641025641025643,RGB,b75919d474ab0cc0743318ca52b7f310db9db8af224112515621daf564ed17b2,173b2b13130b2f3f,False,,group-000028,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery125.jpg,battery/battery125.jpg,battery,0,2780,225,225,1.0,RGB,6efd5363a6474b1f96fdb6fa0f9071dd27363d11b6ef8974b80b5bd91409f739,084d4d4d4d4d4d00,False,,group-000024,True
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery126.jpg,battery/battery126.jpg,battery,0,6269,225,225,1.0,RGB,9b9a69046e59170e23cf8f949cfa3d25b2a901bd979a73a9ad162124741c8511,123d1e0f0b874e2d,False,,group-000029,False
/Users/blue/Desktop/EmergingAI/TBBA/code/garbage_classification/battery/battery127.jpg,battery/battery127.jpg,battery,0,3352,258,195,1.323076923076923,RGB,d27a5c9c86bc24485638284e4111470eb7a53e423c85141486ea95bf1d42e21e,001a181a96064812,False,,group-000030,False
